"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1970",2.55239452299587,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1971",2.85136866897565,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1972",3.18368565670658,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1973",3.83720535164235,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1974",4.69022638202192,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1975",5.20203900024967,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1976",5.79387443826547,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1977",6.26789850270442,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1978",6.59021263796185,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1979",7.46046080315692,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1980",8.43462749127119,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1981",9.70776832553804,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1982",10.0550895919792,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1983",10.6296978951796,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1984",11.8539358951315,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1985",13.0620581883206,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1986",13.9703339692587,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1987",14.7790179940529,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1988",18.1089439108464,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1989",22.5877338167283,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1990",22.9337771869399,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1991",23.5289717837039,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1992",23.888856888724,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1993",24.511734955105,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1994",25.3896964200991,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1995",25.6961919765722,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1996",25.9038179986992,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1997",26.9419481093341,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1998",28.9213161869446,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1999",31.0193277057705,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2000",33.595867770832,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2001",37.3687292014822,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2002",44.3726470145656,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2003",52.3758635705696,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2004",55.6468976369559,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2005",56.6647093420831,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2006",60.5793697475724,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2007",66.96026620337,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2008",69.6026619787003,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2009",72.4212174665526,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2010",80.8768839401096,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2011",79.1348600623918,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2012",78.88040713486,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2013",84.1064787705133,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2014",91.720493258965,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2016",105.500097863187,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2017",114.308083789288,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2018",112.66392641375,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1970",57.4158388813786,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1971",58.9097077813359,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1972",59.9392681968677,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1973",62.0707793084099,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1974",62.9915273635257,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1975",58.5693751715218,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1976",58.2520395759802,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1977",57.090703732971,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1978",54.4115562425695,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1979",55.0002140084172,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1980",55.9254115213668,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1981",57.6663456320618,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1982",53.9744051134128,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1983",52.8247398686882,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1984",54.0509023438928,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1985",55.7948712538614,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1986",55.7284123549637,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1987",55.4289794942596,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1988",62.1891279063355,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1989",70.0499973753932,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1990",66.0137514064384,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1991",67.0744024229891,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1992",66.2695462977948,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1993",66.4552717851539,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1994",65.71185128034,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1995",63.5397252166604,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1996",60.9648439808315,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1997",61.2383367054062,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1998",64.6973202586034,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1999",66.2639750910362,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2000",68.2035764742968,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2001",70.0938030646799,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2002",81.6075341884331,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2003",92.1453668396698,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2004",91.2994500586593,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2005",88.31143677155,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2006",89.6032316467859,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2007",91.0138012822127,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2008",87.9740962975371,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2009",87.4177473155118,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2010",93.8433067025601,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2011",86.263424701806,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2012",84.7302623832602,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2013",87.9131665340269,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2014",92.7371283874078,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2015",100,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2016",105.14095087355,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2017",112.79945242148,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2018",109.658790232522,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1973",40.9204642714774,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1974",45.0637289134047,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1975",42.9202222128274,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1976",41.704672425876,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1977",40.6312862383687,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1978",39.4636196504755,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1979",41.1630847143359,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1980",43.5730518766283,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1981",46.4068919383793,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1982",43.0481697911359,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1983",41.7516365562654,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1984",43.3763931367161,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1985",44.0626093617615,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1986",42.7379116238662,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1987",40.9727153287635,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1988",44.9667607050446,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1989",51.344666044098,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1990",49.1969421675663,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1991",48.8621291131141,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1992",49.1470628212751,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1993",50.1929483185903,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1994",51.6291866491975,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1995",51.3758089907999,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1996",50.2541964602348,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1997",50.7807802655083,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1998",52.9011508798214,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1999",55.2589967242554,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2000",58.0626065764327,
